GLDS-1	Oregon R
GLDS-100	C57BL/6J
GLDS-101	C57BL/6J
GLDS-102	C57BL/6J
GLDS-103	C57BL/6J
GLDS-104	C57BL/6J
GLDS-105	C57BL/6J
GLDS-106	UA159
GLDS-107	C57BL/6
GLDS-108	C57BL/6CR
GLDS-109	C57BL/6NT
GLDS-11	None found
GLDS-111	C57/BL6
GLDS-112	N2 wild type
GLDS-113	N2 wild type
GLDS-114	None found
GLDS-116	C57BL/6CR
GLDS-117	C57BL/6NT
GLDS-118	None found
GLDS-119	None found
GLDS-12	BY4743
GLDS-120	Not clear
GLDS-121	Landsberg (LER-0) ecotype
GLDS-122	Sprague-Dawley
GLDS-123	AB
GLDS-124	None found
GLDS-125	None found
GLDS-126	None found
GLDS-127	None found
GLDS-128	None found
GLDS-129	None found
GLDS-13	None found
GLDS-130	None found
GLDS-131	C57BL/6
GLDS-133	Cab
GLDS-134	Wassilewskija (WS)
GLDS-135	C57BL/6
GLDS-136	Wassilewskija ecotype
GLDS-137	BALB/c
GLDS-138	168
GLDS-139	C57/BL6
GLDS-14	PAO1
GLDS-140	None found
GLDS-141	C57BL/6J
GLDS-144	None found
GLDS-145	UAMS-1
GLDS-146	C57BL/6J
GLDS-147	None found
GLDS-148	129S2 K-rasLA1
GLDS-149	None found
GLDS-15	PAO1
GLDS-151	None found
GLDS-152	None found
GLDS-153	BALB/c
GLDS-154	None found
GLDS-155	None found
GLDS-156	C57BL/6N
GLDS-157	None found
GLDS-158	C57BL/6J
GLDS-159	C57BL/6
GLDS-16	None found
GLDS-160	BALB/c
GLDS-161	BALB/c
GLDS-162	BALB/c
GLDS-163	BALB/c
GLDS-164	C57BL/6NTac
GLDS-165	LS292 | N2
GLDS-166	MT4930 | N2
GLDS-167	LS292 | MT4930 | N2
GLDS-168	BALB/c | C57BL/6J
GLDS-17	Col-0
GLDS-170	None found
GLDS-172	None found
GLDS-173	C57BL/6NCrl
GLDS-174	None found
GLDS-175	None found
GLDS-176	None found
GLDS-178	None found
GLDS-18	None found
GLDS-182	None found
GLDS-183	None found
GLDS-185	subsp. subtilis 168
GLDS-188	None found
GLDS-189	None found
GLDS-19	None found
GLDS-190	None found
GLDS-191	None found
GLDS-192	None found
GLDS-193	None found
GLDS-194	BALB/c
GLDS-195	None found
GLDS-198	None found
GLDS-199	ATCC 4356
GLDS-20	SC5413
GLDS-200	None found
GLDS-201	C57BL/6J
GLDS-202	C57BL/6J
GLDS-203	C57BL/6J
GLDS-205	Col-0
GLDS-207	None found
GLDS-208	Col-0
GLDS-209	C57BL/6
GLDS-21	C57BL/6J
GLDS-210	Col-0
GLDS-211	C57BL/6J
GLDS-212	C57BL/6J
GLDS-213	None found
GLDS-214	C57BL/6J
GLDS-215	subsp. subtilis 168
GLDS-216	subsp. subtilis 168
GLDS-217	Wassilewskija ecotype
GLDS-218	Wassilewskija ecotype
GLDS-219	None found
GLDS-22	None found
GLDS-220	Col-0
GLDS-222	C57BL/6J
GLDS-223	None found
GLDS-224	None found
GLDS-225	brown
GLDS-227	ICR
GLDS-228	C57BL6
GLDS-232	C57BL/6N
GLDS-233	CW12001 | FGSC A4 | LO1362 | LO8158
GLDS-235	C57BL/6J
GLDS-236	C57BL/6J
GLDS-237	C57BL/6J
GLDS-238	C57BL/6J
GLDS-239	C57BL/6J
GLDS-240	BALB/c
GLDS-241	BALB/c
GLDS-242	C57BL/6J
GLDS-243	C57BL/6NTac
GLDS-244	C57BL/6NTac
GLDS-245	C57BL/6NTac
GLDS-246	C57BL/6NTac
GLDS-247	C57BL/6NTac
GLDS-248	C57BL/6NTac
GLDS-249	C57BL/6NTac
GLDS-25	C57BL/6CR
GLDS-250	C57BL/6J
GLDS-251	Landsberg ecotype
GLDS-252	None found
GLDS-253	Not clear
GLDS-254	Not clear
GLDS-255	C57BL/6J
GLDS-256	None found
GLDS-258	None found
GLDS-259	SAFR-032 | SAFR-032 var 168T-5 | SAFR-032 var 183T-1 | SAFR-032 var 40T-5 | SAFR-032 var 56T-2
GLDS-26	None found
GLDS-260	ATCC 1015 | JSC-093350089
GLDS-261	Af293 | CEA10 | IF1SW-F4 | ISSFT-021
GLDS-263	1P01SC | 2P01AA | 50v1 | FO-92
GLDS-266	Not clear
GLDS-267	cv. Outredgeous
GLDS-268	cv. Outredgeous
GLDS-269	cv. Outredgeous
GLDS-27	None found
GLDS-270	BALB/c
GLDS-271	F1 hybrid of Spraqgue-Dawley and Copenhaguen
GLDS-272	C57BL/6J
GLDS-273	C57BL/6J
